NETWORK,PI,YEAR,MONTH,DAY,SITE,TRANSECT,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,START_DEPTH_M,END_DEPTH_M,TEMPERATURE_C,VISIBILITY_M
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,42.99306904,-70.613883985,42.99288473,-70.61373001,11.1,5,8,4
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,42.992762011,-70.611665966,42.993077002,-70.611877022,10.8,8.4,7,5
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,42.990710959,-70.610730965,42.991084037,-70.610600039,9.8,10.1,9,4.5
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,42.989987014,-70.611166991,42.989742011,-70.610920982,6,8.4,9,5
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,42.993015982,-70.615435978,42.992833005,-70.615848033,9.1,9.6,10,4
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,42.991409004,-70.617746031,42.991715027,-70.617419975,6.3,6.7,NA,2.5
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,42.991161989,-70.618240982,42.991544036,-70.618120031,11.4,4.4,12,3
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Sandpiper Beach,42.99012,-70.617828,NA,NA,9.4,4.5,12.5,3
KEEN ONE,Byrnes,2014,7,17,SW Appledore,South Smith's Cove,42.984478008,-70.618435023,42.984103002,-70.618429994,8.4,12.6,9,3
KEEN ONE,Byrnes,2014,7,17,SW Appledore,North Smith's Cove,42.984961979,-70.618916983,42.984833987,-70.618681032,9.1,9.1,9,2.5
KEEN ONE,Byrnes,2014,7,19,SW Appledore,South Pepperrell,42.985265991,-70.619861037,42.98562197,-70.619732961,10.3,8.3,11,2
KEEN ONE,Byrnes,2014,7,19,SW Appledore,North Pepperrell,42.986057997,-70.619525006,42.985724984,-70.619615028,9.2,8.7,11,3
KEEN ONE,Byrnes,2015,12,8,NE Appledore,Broadway and 42nd,42.992189945653,-70.6110799871385,42.9924565739929,-70.6112782191485,8.7,8,13,7
KEEN ONE,Byrnes,2015,13,8,NE Appledore,Broad Cove,42.9898099880665,-70.6109499838203,42.9897059686481,-70.6105509214103,7.7,8.7,12.5,8
KEEN ONE,Byrnes,2015,13,8,NE Appledore,Devil's Dance Floor,42.9927154071629,-70.6134819891303,42.9926432389766,-70.6130809988826,8.5,8,15,7
KEEN ONE,Byrnes,2015,12,8,NE Appledore,Norwegian Cove,42.9903699830174,-70.6108799949288,42.9908521100878,-70.6109935697168,10.2,8,NA,4
KEEN ONE,Byrnes,2015,8,12,NW Appledore,Sandpiper Beach,42.9902022611349,-70.618576426059,42.9899411648511,-70.6189008895307,9.1,5.5,15,7
KEEN ONE,Byrnes,2015,8,10,NW Appledore,North Head,42.9929039161652,-70.6156041193753,42.9926791135221,-70.6161299161613,10.1,9.4,14,4
KEEN ONE,Byrnes,2015,8,10,NW Appledore,Magic 8 Ball,42.991222590208,-70.6181925348937,42.9910713806748,-70.6186123844236,8.5,10,15.6,5
KEEN ONE,Byrnes,2015,8,10,NW Appledore,Larus Ledge,42.9908399563282,-70.6183599215,42.9907669499516,-70.6185852270573,10.3,8.9,15.6,2
KEEN ONE,Byrnes,2015,8,13,SW Appledore,North Smith's Cove,42.9850580357015,-70.6188271287828,42.9849,-70.618378,4.5,4,16,8
KEEN ONE,Byrnes,2015,8,13,SW Appledore,South Smith's Cove,42.9842899180948,-70.618179962039,42.984621,-70.618363,6.8,7.1,NA,7
KEEN ONE,Byrnes,2015,8,11,SW Appledore,North Pepperrell,42.9859418235719,-70.6199330370873,42.9857431724667,-70.6201360467821,10.4,11.3,12.8,6
KEEN ONE,Byrnes,2015,8,12,SW Appledore,South Pepperrell,NA,NA,NA,NA,7.6,4.9,15.6,7
KEEN ONE,Byrnes,2016,8,9,NE Appledore,Broadway and 42nd,42.99184,-70.61057,42.99201,-70.61097,5.9,6.8,15,4
KEEN ONE,Byrnes,2016,8,9,NE Appledore,Devil's Dance Floor,42.9976,-70.61309,42.99288,-70.61361,10,9.5,16,1.5
KEEN ONE,Byrnes,2016,8,8,NE Appledore,Norwegian Cove,42.9906,-70.6115,42.9909,-70.6112,8.5,8.5,17,6
KEEN ONE,Byrnes,2016,8,8,NE Appledore,Broad Cove,42.9898,-70.6108,42.98962,-70.61039,3,8.2,18.6,6
KEEN ONE,Byrnes,2016,8,11,NW Appledore,Larus Ledge,42.99121,-70.61816,42.99086,-70.6184,6.7,7.6,15,3
KEEN ONE,Byrnes,2016,8,11,NW Appledore,North Head,42.9931,-70.61526,42.99285,-70.61564,9.1,8.8,15,1
KEEN ONE,Byrnes,2016,8,9,NW Appledore,Magic 8 Ball,42.99109,-70.61833,42.99122,-70.61819,7.4,8,12,3
KEEN ONE,Byrnes,2016,8,9,NW Appledore,Sandpiper Beach,42.99021,-70.61878,42.98521,-70.61927,9.4,10,12,3
KEEN ONE,Byrnes,2016,8,10,SW Appledore,North Smith's Cove,42.98505,-70.61876,42.984899,-70.618306,6.4,6.5,18,3
KEEN ONE,Byrnes,2016,8,10,SW Appledore,South Smith's Cove,42.9845,-70.61809,42.98429,-70.61777,5.5,6.5,17.8,3
KEEN ONE,Byrnes,2016,8,10,SW Appledore,North Pepperrell,42.98606,-70.61996,42.98543,-70.61961,9.3,8,15.5,3
KEEN ONE,Byrnes,2016,8,10,SW Appledore,South Pepperrell,42.98566,-70.61964,42.98521,-70.61927,5.5,4.6,16,3
KEEN ONE,Byrnes,2017,8,15,NE Appledore,Broad Cove,42.98997,-70.61086,42.99028,-70.61058,10.2,12.3,11,6
KEEN ONE,Byrnes,2017,8,15,NE Appledore,Norwegian Cove,42.99084,-70.61073,42.99131,-70.61073,8.5,7.3,11,4
KEEN ONE,Byrnes,2017,8,16,NE Appledore,Devil's Dance Floor,42.99288,-70.61346,42.99258,-70.6132,8.5,7.1,9,3
KEEN ONE,Byrnes,2017,8,16,NE Appledore,Broadway and 42nd,42.99266,-70.61152,NA,NA,7.7,8.2,11,4
KEEN ONE,Byrnes,2017,8,15,NW Appledore,8 Ball,42.99151,-70.61778,42.99163,-70.61742,10.3,7,13,4
KEEN ONE,Byrnes,2017,8,15,NW Appledore,North Head,42.99264,-70.61617,42.99253,-70.61647,11.1,11.5,11,6
KEEN ONE,Byrnes,2017,8,17,NW Appledore,Larus Legde,42.99111,-70.61825,42.99144,-70.61783,8.2,7.1,15,2.5
KEEN ONE,Byrnes,2017,8,16,NW Appledore,Sandpiper Beach,42.99015,-70.61854,42.99049,-70.61826,10.6,8.1,14,3.5
KEEN ONE,Byrnes,2017,8,16,SW Appledore,South Smith's Cove,42.98434,-70.61806,42.98464,-70.61816,7.7,6.6,16,3.5
KEEN ONE,Byrnes,2017,8,17,SW Appledore,North Smith's Cove,42.98479,-70.61884,42.98486,-70.61826,7.4,5.5,16,3
KEEN ONE,Byrnes,2017,8,17,SW Appledore,South Pepperrell,42.98524,-70.61962,42.98495,-70.61983,7,10,13,3
KEEN ONE,Byrnes,2017,8,17,SW Appledore,North Pepperrell,42.98613,-70.6199,42.98625,-70.61944,7.3,7.3,13,2
KEEN ONE,Byrnes,2018,8,28,NE Appledore,1,42.9897,-70.61036,42.98964,-70.61078,9.1,7.6,18,5
KEEN ONE,Byrnes,2018,8,28,NE Appledore,2,42.99039,-70.61139,42.99021,-70.61169,9.3,9.3,17,5
KEEN ONE,Byrnes,2018,8,28,NE Appledore,3,42.99242,-70.6115,42.99228,-70.61119,9.6,9.1,17,5
KEEN ONE,Byrnes,2018,8,28,NE Appledore,4,42.99276,-70.61322,NA,NA,8.7,NA,17,5
KEEN ONE,Byrnes,2018,8,29,NW Appledore,North Head,42.99315,-70.61552,42.9929,-70.61597,14.9,13.9,12,7
KEEN ONE,Byrnes,2018,8,30,NW Appledore,Larus Ledge,42.99079,-70.61849,42.99129,-70.61843,9.6,14.3,15,5
KEEN ONE,Byrnes,2018,8,30,NW Appledore,8 Ball,42.99039,-70.61851,42.99009,-70.61832,9.7,5.2,18,4
KEEN ONE,Byrnes,2018,8,30,SW Appledore,1,42.9861,-70.6197,42.98582,-70.61938,6.9,6.8,16,5
KEEN ONE,Byrnes,2018,8,31,SW Appledore,2,42.98514,-70.61996,42.98582,-70.61938,10.9,6.8,17,4
KEEN ONE,Byrnes,2018,8,31,SW Appledore,3,42.98486,-70.61892,42.98509,-70.61852,9.8,5.2,20,4
KEEN ONE,Byrnes,2018,8,31,SW Appledore,4,42.98446,-70.61829,42.98446,-70.61813,8.5,6.2,18,5
